Mode,MNLC,MASC,Station,Coverage,Source,Entries_Monday,Entries_midweek,Entries_Friday,Entries_Saturday,Entries_Sunday,Exits_Monday,Exits_midweek,Exits_Friday,Exits_Saturday,Exits_Sunday,En/Ex_weekly,En/Ex_12week,En/Ex_annual
LU,670,PADu,Paddington TfL,Station entry/exit,Gateline,"68,701","75,981","76,714","71,372","52,272","66,609","76,321","78,752","70,190","49,762","991,279","11,895,352","46,649,966"
LU,671,PRYu,Park Royal,Station entry/exit,Gateline,"2,516","2,707","2,740","2,257","1,564","2,595","2,825","2,910","2,357","1,591","35,126","421,510","1,653,036"
LU,672,PGRu,Parsons Green,Station entry/exit,Gateline,"7,771","9,200","8,424","6,464","3,995","7,645","8,978","8,019","6,062","3,950","106,862","1,282,345","5,028,968"
LU,673,PERu,Perivale,Station entry/exit,Gateline,"2,704","3,002","2,831","2,271","1,362","2,665","2,912","2,758","2,143","1,352","35,829","429,944","1,686,109"
LU,674,PICu,Piccadilly Circus,Station entry/exit,Gateline,"34,813","43,227","45,542","55,132","33,468","33,087","40,513","45,406","57,890","31,679","588,238","7,058,857","27,682,697"
LU,776,PIMu,Pimlico,Station entry/exit,Gateline,"10,384","12,464","11,120","9,192","6,591","10,204","12,231","10,486","8,770","6,385","147,215","1,766,585","6,928,011"
LU,675,PINu,Pinner,Station entry/exit,Scaled,"3,596","3,596","3,388","2,966","1,834","3,586","3,586","3,107","2,931","1,814","44,767","537,203","2,106,745"
LU,676,PLWu,Plaistow,Station entry/exit,Gateline,"6,748","7,009","7,118","5,184","3,715","6,363","6,702","6,623","4,710","3,708","85,304","1,023,647","4,014,434"
LU,677,PRDu,Preston Road,Station entry/exit,Gateline,"3,700","4,013","3,816","2,985","2,000","3,686","3,962","3,749","2,866","2,092","48,817","585,803","2,297,341"
LU,678,PUTu,Putney Bridge,Station entry/exit,Gateline,"6,492","8,025","7,159","7,661","4,270","7,086","8,541","7,500","7,906","4,436","102,212","1,226,540","4,810,117"
LU,680,QPKu,Queen's Park,Station entry/exit,Gateline,"6,349","7,438","6,960","5,799","3,915","6,082","7,006","6,313","5,422","3,986","88,159","1,057,905","4,148,784"
LU,679,QBYu,Queensbury,Station entry/exit,Gateline,"5,066","5,338","5,237","3,929","2,532","5,033","5,284","5,206","3,827","2,434","65,131","781,575","3,065,100"
LU,681,QWYu,Queensway,Station entry/exit,Gateline,"8,922","9,601","10,325","10,985","8,028","9,484","10,471","11,044","11,430","8,079","138,513","1,662,160","6,518,486"
LU,682,RCPu,Ravenscourt Park,Station entry/exit,Gateline,"4,071","4,617","4,580","3,100","2,153","3,979","4,567","4,404","2,928","2,136","54,902","658,828","2,583,723"
LU,683,RAYu,Rayners Lane,Station entry/exit,Gateline,"4,930","5,300","5,109","4,034","2,625","4,787","5,217","5,002","3,875","2,677","64,590","775,078","3,039,620"
LU,684,REDu,Redbridge,Station entry/exit,Gateline,"3,371","3,575","3,544","2,969","2,016","3,115","3,262","3,243","2,742","1,883","43,397","520,763","2,042,273"
LU,685,RPKu,Regent's Park,Station entry/exit,Gateline,"3,074","3,583","3,195","2,474","1,508","3,570","4,186","3,851","2,928","1,722","45,629","547,544","2,147,300"
LU,686,RMDu,Richmond,Boarding/alighting,Scaled,"5,459","5,459","6,807","4,847","4,863","6,204","6,204","6,262","4,462","5,557","79,449","953,385","3,738,887"
LU,687,RKYu,Rickmansworth,Station entry/exit,Gateline,"2,868","3,315","3,093","1,986","1,129","2,779","3,219","3,027","1,924","1,118","37,527","450,318","1,766,012"
LU,688,RODu,Roding Valley,Station entry/exit,Scaled,365,365,314,215,176,602,602,439,321,174,"5,509","66,112","259,271"
LU,690,ROYu,Royal Oak,Station entry/exit,Gateline,"3,033","3,527","3,338","2,841","1,953","2,833","3,284","3,087","2,596","1,896","42,012","504,143","1,977,095"
LU,691,RUIu,Ruislip,Station entry/exit,Gateline,"2,086","2,367","2,220","1,914","1,049","2,169","2,418","2,314","1,852","1,093","29,053","348,632","1,367,228"
LU,692,RUGu,Ruislip Gardens,Station entry/exit,Gateline,"1,193","1,461","1,298","1,092",596,"1,090","1,302","1,128",984,615,"16,284","195,412","766,348"
LU,693,RUMu,Ruislip Manor,Station entry/exit,Gateline,"2,103","2,417","2,277","1,781",947,"2,157","2,448","2,286","1,648",971,"28,766","345,191","1,353,734"
LU,694,RSQu,Russell Square,Station entry/exit,Gateline,"13,522","14,053","14,704","11,430","8,879","13,663","14,469","15,364","11,446","7,922","182,498","2,189,979","8,588,433"
LU,698,SVSu,Seven Sisters,Station entry/exit,Gateline,"17,622","36,093","19,790","16,994","13,595","17,194","37,336","19,563","16,698","13,551","355,290","4,263,480","16,720,076"
LU,700,SBCu,Shepherd's Bush LU,Station entry/exit,Gateline,"18,704","21,494","21,953","23,399","14,904","17,701","20,492","20,795","21,785","13,816","279,018","3,348,213","13,130,675"
